country,language,n_models,n_periods,mad_society,mad_state,rmsd,endpoint_shift,rho_dsociety,rho_dstate
France,French,4,24,0.251,0.326,0.499,0.347,0.8738562880615034,0.9196936282744237
China,Chinese,4,14,0.171,0.359,0.507,0.079,0.9615384615384615,0.8791208791208791
Iran (Persia),Persian,4,14,0.32,0.27,0.533,0.555,0.9903723261853131,0.9835164835164836
Chile,Spanish,4,21,0.181,0.193,0.332,0.414,0.9605115384036058,0.9112781954887217
Lebanon,Arabic,4,11,0.248,0.189,0.378,0.25,0.8632258720256917,0.9636363636363635
